cryptoName,cryptoRoute,cryptoTicker
Bitcoin,btc,BTC
Ethereum,eth,ETH
Tether,usdt,USDT
BNB,bnb,BNB
USD Coin,usdc,USDC
XRP,xrp,XRP
Cardano,ada,ADA
Dogecoin,doge,DOGE
Polygon,matic,MATIC
Solana,sol,SOL
Binance USD,busd,BUSD
Polkadot,dot,DOT
Litecoin,ltc,LTC
Shiba Inu,shib,SHIB
TRON,trx,TRX
Avalanche,avax,AVAX
Dai,dai,DAI
Uniswap,uni,UNI
Wrapped Bitcoin,wbtc,WBTC
Chainlink,link,LINK
Cosmos,atom,ATOM
UNUS SED LEO,leo,LEO
Ethereum Classic,etc,ETC
Toncoin,ton,TON
Monero,xmr,XMR
OKB,okb,OKB
Bitcoin Cash,bch,BCH
Stellar,xlm,XLM
Filecoin,fil,FIL
Aptos,apt,APT
TrueUSD,tusd,TUSD
Lido DAO,ldo,LDO
Hedera,hbar,HBAR
Cronos,cro,CRO
NEAR Protocol,near,NEAR
VeChain,vet,VET
Stacks,stx,STX
Algorand,algo,ALGO
Internet Computer,icp,ICP
Quant,qnt,QNT
ApeCoin,ape,APE
The Graph,grt,GRT
Fantom,ftm,FTM
EOS,eos,EOS
BitDAO,bit,BIT
Decentraland,mana,MANA
Aave,aave,AAVE
MultiversX,egld,EGLD
Immutable,imx,IMX
Tezos,xtz,XTZ
Flow,flow,FLOW
Conflux,cfx,CFX
Theta Network,theta,THETA
Axie Infinity,axs,AXS
The Sandbox,sand,SAND
KuCoin Token,kcs,KCS
Pax Dollar,usdp,USDP
Neo,neo,NEO
Chiliz,chz,CHZ
Optimism,op,OP
Rocket Pool,rpl,RPL
Terra Classic,lunc,LUNC
USDD,usdd,USDD
Mina,mina,MINA
Curve DAO Token,crv,CRV
Klaytn,klay,KLAY
Bitcoin SV,bsv,BSV
Synthetix,snx,SNX
PancakeSwap,cake,CAKE
GMX,gmx,GMX
Maker,mkr,MKR
Dash,dash,DASH
Gemini Dollar,gusd,GUSD
SingularityNET,agix,AGIX
eCash,xec,XEC
Frax Share,fxs,FXS
Huobi Token,ht,HT
BitTorrent(New),btt,BTT
IOTA,miota,MIOTA
Zcash,zec,ZEC
GateToken,gt,GT
XDC Network,xdc,XDC
PAX Gold,paxg,PAXG
Trust Wallet Token,twt,TWT
Render Token,rndr,RNDR
Loopring,lrc,LRC
THORChain,rune,RUNE
Zilliqa,zil,ZIL
1inch Network,1inch,1INCH
Fei USD,fei,FEI
Mask Network,mask,MASK
Convex Finance,cvx,CVX
Osmosis,osmo,OSMO
Casper,cspr,CSPR
Kava,kava,KAVA
Enjin Coin,enj,ENJ
dYdX,dydx,DYDX
Nexo,nexo,NEXO
Flare,flr,FLR
MAGIC,magic,MAGIC
EthereumPoW,ethw,ETHW
Threshold,t,T
ssv.network,ssv,SSV
Basic Attention Token,bat,BAT
NEM,xem,XEM
WOO Network,woo,WOO
FLOKI,floki,FLOKI
Qtum,qtum,QTUM
Terra,luna,LUNA
Oasis Network,rose,ROSE
Theta Fuel,tfuel,TFUEL
Ravencoin,rvn,RVN
Ankr,ankr,ANKR
Compound,comp,COMP
Balancer,bal,BAL
Holo,hot,HOT
Fetch.ai,fet,FET
yearn.finance,yfi,YFI
Injective,inj,INJ
MobileCoin,mob,MOB
Celo,celo,CELO
Decred,dcr,DCR
Kusama,ksm,KSM
Gala,gala,GALA
Harmony,one,ONE
Arweave,ar,AR
Gnosis,gno,GNO
Bitcoin Gold,btg,BTG
Astar,astr,ASTR
Ethereum Name Service,ens,ENS
Audius,audio,AUDIO
LINK,ln,LN
Bone ShibaSwap,bone,BONE
Chia,xch,XCH
Blur,blur,BLUR
OMG Network,omg,OMG
Waves,waves,WAVES
Golem,glm,GLM
SushiSwap,sushi,SUSHI
Nervos Network,ckb,CKB
STEPN,gmt,GMT
IoTeX,iotx,IOTX
Moonbeam,glmr,GLMR
JUST,jst,JST
JasmyCoin,jasmy,JASMY
